#GEOTYPE|ST|CENREG|GEOCOMP|GEO_ID|GEO_LABEL|GEO_ID_F|NAICS2022|NAICS2022_LABEL|NAICS2022_F|SECTOR|YEAR|FIRM|FIRM_F|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F|PAYANCW|PAYANCW_F|EMPQ1CW|EMPQ1CW_F|EMPQ2CW|EMPQ2CW_F|EMPQ3CW|EMPQ3CW_F|EMPQ4CW|EMPQ4CW_F|HOURS|HOURS_F|PAYANOC|PAYANOC_F|EMPQ1OC|EMPQ1OC_F|EMPQ2OC|EMPQ2OC_F|EMPQ3OC|EMPQ3OC_F|EMPQ4OC|EMPQ4OC_F|BENEFIT|BENEFIT_F|BENLGL|BENLGL_F|BENVOL|BENVOL_F|CSTCMT|CSTCMT_F|CSTMPRT|CSTMPRT_F|CSTSCNT|CSTSCNT_F|CSTLAND|CSTLAND_F|CSTEFT|CSTEFT_F|CSTFUGT|CSTFUGT_F|CSTFUNG|CSTFUNG_F|CSTFUON|CSTFUON_F|CSTFUOF|CSTFUOF_F|CSTFUOT|CSTFUOT_F|CSTELEC|CSTELEC_F|RCPCWRK|RCPCWRK_F|RCPCGDL|RCPCGDL_F|FEDDL|FEDDL_F|CSLDL|CSLDL_F|PRIDL|PRIDL_F|RCPOTH|RCPOTH_F|RCPCCNDL|RCPCCNDL_F|RCPNCW|RCPNCW_F|VALADD|VALADD_F|INVMATB|INVMATB_F|INVMATE|INVMATE_F|ASTBGN|ASTBGN_F|CEXTOT|CEXTOT_F|ASRET|ASRET_F|ASTEND|ASTEND_F|DPRTOT|DPRTOT_F|RPTOT|RPTOT_F|RPBLD|RPBLD_F|RPMCH|RPMCH_F|PCHTT|PCHTT_F|PCHTEMP|PCHTEMP_F|PCHCMPQ|PCHCMPQ_F|PCHEXSO|PCHEXSO_F|PCHDAPR|PCHDAPR_F|PCHCSVC|PCHCSVC_F|PCHRPR|PCHRPR_F|PCHRFUS|PCHRFUS_F|PCHADVT|PCHADVT_F|PCHPRTE|PCHPRTE_F|PCHTAX|PCHTAX_F|PCHOEXP|PCHOEXP_F|RCPTOT_IMP|RCPTOT_IMP_F|PAYANN_IMP|PAYANN_IMP_F|EMP_IMP|EMP_IMP_F|INDLEVEL
01|00||00|0100000US|United States||236118|Residential remodelers||23|2022|127652||128187||129115307||23357267||4987771||409932||14132581||288779||351474||364120||394547||595522||9224686||121153||97782||97348||130226||4453964||3066471||1387493||73431847||45232562||24897380||103446||3198459||2330746||151413||2103885||226861||94682||621618||125945502||2413116||287311||2125805||123532386||3169803||7129725||101048122||55683460||2942344||3165839||18045173||841167||290086||18596254||1396100||1590986||1140752||450234||7428485||337204||290052||308304||101007||662452||376250||159107||1067949||1211948||693034||2221178||0|2|0|0|0|3|6
01|00||00|0100000US|United States||238|Specialty trade contractors||23|2022|505580||515720||1281526572||319989725||69315516||4832377||231329273||3678692||3917577||3985241||4004733||7374508||88660452||1153685||1120692||1123308||1171169||90071125||45173735||44897390||523319137||389473962||98396833||407862||35040480||27589887||1540779||22041161||5548726||1286169||4623645||1229618398||168412559||33334018||135078541||1061205839||51908209||395222150||1131221565||758207435||26468068||29656897||209938985||18025452||7276035||220688402||23883484||24460794||10970048||13490746||77541248||5650220||3144808||2695117||1362694||5433447||7286006||1652298||5845952||8680963||6636657||29153086||0|1|0|0|0|2|3
01|00||00|0100000US|United States||238110|Poured concrete foundation and structure contractors||23|2022|22865||23110||78743872||17968785||3628552||274618||14536352||232916||253729||260134||256578||470322||3432433||41702||41089||41156||42502||4420189||2692076||1728113||37078704||27191628||7666547||28585||2191944||1747155||90919||1446242||300913||96389||257481||77131396||8582496||1189254||7393242||68548900||1612477||38776408||69464849||41665168||1057947||1148042||13084592||1189600||410568||13863624||1585427||1503289||493675||1009614||3716618||311450||162725||119527||69652||225148||518097||64350||171464||525578||344260||1204367||0|1|0|0|0|1|6
01|00||00|0100000US|United States||238130|Framing contractors||23|2022|13016||13125||29126868||5490160||1188096||103612||4413941||86984||91841||92438||92534||152627||1076219||16628||17445||16711||17623||1279791||824824||454967||15015293||10433125||3843657||24625||713886||582043||25088||477637||104406||24366||82389||27934626||1731419||283599||1447820||26203207||1192240||13350700||24090969||14111575||569087||621597||3533391||234801||79888||3688304||349101||479859||180527||299332||2249989||239249||66436||42634||22574||94713||125377||26903||70098||258670||185987||1117348||0|1|0|0|0|2|6
01|00||00|0100000US|United States||238150|Glass and glazing contractors||23|2022|6618||6825||18880965||4525342||1025353||70256||2700272||43091||45040||45820||40291||87676||1825070||27165||26286||25756||30577||1181858||596797||585061||8755087||7614762||826901||4752||308672||198540||28994||184275||14265||10749||70389||18478042||2875958||595278||2280680||15602084||402932||9605926||17651141||10125878||439776||478381||2816931||170941||76253||2911619||274684||431380||225205||206175||1258422||87105||44337||31088||24819||70396||69599||21850||75110||143052||100686||590380||0|1|0|0|0|1|6
01|00||00|0100000US|United States||238160|Roofing contractors||23|2022|24082||24552||69906202||13458130||2748041||217014||8454730||155089||170924||172864||174804||294262||5003400||61925||58258||59225||63543||3425847||2116237||1309610||33262486||25754612||6009975||5971||1491928||1081768||109072||957151||124617||40042||261046||67914485||8487107||1857185||6629922||59427378||1991723||14386614||61904510||36643716||1334094||1698091||8874489||662850||287203||9250136||1003119||1083426||531508||551918||3990750||206769||125186||154272||74209||250154||244634||107300||508353||499851||342832||1477190||0|1|0|0|0|2|6
01|00||00|0100000US|United States||238170|Siding contractors||23|2022|8594||8787||10821892||2212630||455217||42593||1476856||29475||29964||30353||31783||54171||735774||13118||12983||12853||13191||475368||326810||148558||4951933||3611249||1098526||3487||238671||184338||14123||167767||16571||4023||36187||10257252||538631||99723||438908||9718621||564644||3176202||9158726||5869959||262576||291188||1582156||92396||47032||1627520||172247||225341||102574||122767||829459||40712||30314||22618||9510||61360||44075||11525||88136||77267||60160||383782||0|2|0|0|0|3|6
01|00||00|0100000US|United States||238210|Electrical contractors and other wiring installation contractors||23|2022|78975||81249||249247389||69110234||15632945||968734||51066919||758929||782723||799178||804046||1534629||18043315||209805||203880||205085||221697||20840978||9235003||11605975||96278004||76952362||14073220||25146||5227276||4034271||219243||3738256||296015||122347||851415||244852717||38946840||8567575||30379265||205905877||4394674||81003972||230779497||152969385||4677987||5401966||30564652||2614597||1047341||32131908||3384271||3682558||2055397||1627161||13578186||1413097||624998||574360||262497||958956||901358||337085||631298||1510364||1243991||5120182||0|2|0|1|0|2|6
01|00||00|0100000US|United States||238220|Plumbing, heating, and air-conditioning contractors||23|2022|112088||114427||297608835||80351785||17826657||1169692||56060961||846519||887073||900577||932302||1690333||24290824||323173||316368||317271||316770||23594431||10806776||12787655||121691023||93671679||21205813||41961||6771570||5146614||344801||4792954||353660||185976||1094179||288331268||34473882||7158698||27315184||253857386||9277569||85139759||267125455||175917812||5858672||6448684||37536312||3236440||1283813||39488939||4342114||4641485||2723844||1917641||17589736||1035718||807445||760275||387938||1542377||1112883||343108||1852831||1823276||1485398||6438487||0|1|0|1|0|2|6
01|00||00|0100000US|United States||238310|Drywall and insulation contractors||23|2022|19568||20226||57791264||14604912||3238550||238637||11344657||201197||206907||208439||214097||378015||3260255||37440||35135||35245||35853||4749144||2484115||2265029||23139167||17550607||4701401||4553||882606||667247||49472||615189||52058||21832||144055||55407645||6129844||1372250||4757594||49277801||2383629||24757024||50706244||34652097||1110809||1163242||7938708||516959||225610||8230057||714961||810896||472552||338344||3035276||219842||128159||119583||59824||194867||191010||47244||121919||368142||215800||1368886||0|1|0|1|0|1|6
