Schedule of Equipment Rates | FEMA.gov

# Schedule of Equipment Rates 

The rates on this Schedule of Equipment Rates are for applicant-owned equipment in good mechanical condition, complete with all required attachments. Each rate covers all costs eligible under the Robert T. Stafford Disaster Relief and Emergency Assistance Act, 42 U.S.C. § 5121, et seq., for ownership and operation of equipment, including depreciation, overhead, all maintenance, field repairs, fuel, lubricants, tires, OSHA equipment and other costs incidental to operation. Standby equipment costs are not eligible.

Equipment must be in actual operation performing eligible work in order for reimbursement to be eligible. Labor costs of the operator are not included in the rates and should be approved separately from equipment costs.

Information regarding the use of the Schedule is contained in 44 CFR § 206.228 Allowable Costs. Rates for equipment not listed will be furnished by FEMA upon request. Any appeals shall be in accordance with 44 CFR § 206.206 Appeals.

 

Download Past Schedules

2017 rates 2019 rates

2021 rates

2023 Rates

## Search the 2025 Schedule of Equipment Rates

These rates are applicable to major disaster and emergencies declared by the President on or after July 1, 2025.

Download the 2025 Schedule of Equipment Rates

| Cost Code | Equipment | Manufacturer | Specification | Capacity or Size | HP | Notes | Unit | 2025 Rates |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 8010 | Air Compressor | Miscellaneous Tank Mounted Air Compressors 80/25 | 41 CFM | 41 CFM | to 10 | Hoses included. | hour | $1.80 |
| 8011 | Air Compressor | Multiquip DIS100SSK4F | 103 CFM | 103 CFM | to 30 | Hoses included. | hour | $20.23 |
| 8012 | Air Compressor | Sullivan-Palatek D130Q6IZ | 130 CFM | 130 CFM | to 50 | Hoses included. | hour | $27.71 |
| 8013 | Air Compressor | Grimmer-Schmidt 175 | 175 CFM | 175 CFM | to 90 | Hoses included. | hour | $26.29 |
| 8014 | Air Compressor | Sullivan-Palatek D375QH6CA | 400 CFM | 400 CFM | to 145 | Hoses included. | hour | $58.41 |
| 8015 | Air Compressor | Grimmer-Schmidt 800 | 575 CFM | 575 CFM | to 230 | Hoses included. | hour | $105.25 |
| 8016 | Air Compressor | Ingersoll Rand XP1200WCU | 1100 CFM | 1100 CFM | to 355 | Hoses included. | hour | $187.83 |
| 8017 | Air Compressor | Sullair 1600DTQCA | 1600 CFM | 1600 CFM | to 500 | Hoses included. | hour | $200.97 |
| 8040 | Ambulance | | GVW 8600 Pounds | | to 150 | | hour | $31.69 |
| 8041 | Ambulance | | GVW 11000 Pounds | | to 210 | | hour | $38.68 |
| 8050 | Board, Arrow | Miscellaneous Trailer mounted Arrow Boards | | | to 8 | Trailer Mounted. | hour | $5.15 |
| 8051 | Board, Message | Miscellaneous CMSBBI | | | to 5 | Trailer Mounted. | hour | $11.18 |
| 8060 | Auger, Portable | Miscellaneous One Man Wheel Mount | 16 In | 16 In | to 6 | | hour | $1.99 |
| 8061 | Auger, Portable | Miscellaneous Portable Earth Auger | 18 In | 18 In | to 13 | | hour | $4.89 |
| 8062 | Auger, Tractor Mntd | Miscellaneous TLB Auger Mount | 36 In | 36 In | to 13 | Includes digger, boom & mounting hardware | hour | $2.94 |
| 8063 | Auger, Truck Mntd | Miscellaneous DH-Avg | 24 In | 24 In | to 100 | 8'x8'x10' Drophammer | hour | $50.79 |
| 8064 | Hydraulic Post Driver | Miscellaneous VIB-Avg | 24 In | 24 In | to 100 | Hyd. Impact Hammer | hour | $53.97 |
| 8065 | Auger | Horizontal Directional Boring Machine | 250 X 100 | 250 X 100 | to 300 | DD-140B YR-2003 | hour | $251.58 |
| 8067 | Auger, Directional Boring Machine | Miscellaneous 7K - Horizontal Drilling Machines | 7,000 lbs | 7,000 lbs | to 25 | Corrected to use Misc. 7K | hour | $87.45 |
| 8067.1 | Directional Boring Machine | Vermeer D24X40A (disc. 2001) | Spindle Torque 4000 ft/lb | Spindle Torque 4000 ft/lb | 125 | | hour | $210.47 |
| 8068 | Bush Hog | New Holland 272GMS | 72-IN cutting width | | | | hour | $18.80 |
| 8069 | Bush Hog | Vermeer MC3700 | 12-FT cutting width | | | | hour | $29.22 |
| 8069.1 | Bush Hog | Bush Hog 2820 Average Retail Rental Rates | 85-IN cutting width | | | | hour | $45.42 |
| 8070 | Automobile, Sedan | 2023 Dodge Charger SXT | Pentastar 3.6L V-6 DOHC, variable valve control, regular unleade | | | | Mile | $0.70 |
| 8071 | Automobile, Pick-up | 2023 RAM 1500 Tradesman | Pentastar 3.6L V-6 DOHC, variable valve control, regular unleade | | | | hour | $15.29 |
| 8073 | Automobile, Police | 2023 Dodge Charger Pursuit | Enigne: 3.6L V6 or 5.7L V8 HEMI Transmission: 8 Speed | | | | hour | $19.14 |
| 8074 | Automobile, Police | 2024 Dodge Durango Pursuit | AWD 3.6L V6 24V VVT Pentastar Engine with ESS Transmission: 8Speed Automatic 850RE Transmission | | | | hour | $19.19 |
| 8075 | Motorcycle, Police | 2023 BMW R 1250 RT-P | | | | | hour | $9.53 |
| 8075.1 | Motorcycle, Police | 2023 BMW R 1250 RT-P | | | | | mile | $0.68 |
| 8076 | Automobile, SUV Mid Size | 2023 Ford Explorer XLT | EcoBoost 2.3L I-4 gasoline direct injection, DOHC, variable valv | | | | hour | $16.10 |
| 8077 | Automobile, SUV Full Size | 2023 Ford Expedition XLT | 3.5L V6 24V PDI DOHC Twin Turbo | | | | hour | $25.02 |
| 8078 | MRAP Armored Rescue Vehicle | Military Surplus Vehicle | Military Surplus Vehicle | | 375-450 | | hour | $73.37 |
| 8079 | MRAP C-MTV | gvwr 55000 Lbs | gvwr 55000 Lbs | | to 350 | | hour | $63.32 |
| 8080 | All Terrain Vehicle | Polaris Ranger SP 570 | 2 Seat with bed box | up to 600CC | up to 50 | New | hour | $16.72 |
| 8081 | All Terrain Vehicle | Polaris Ranger SP 570 | 4 Seat with bed box | up to 600CC | up to 50 | New | hour | $17.45 |
| 8082 | All Terrain Vehicle | Polaris Sportsman 850 Mud Edition | Single seater | up to 850CC | up to 80 | New | hour | $18.22 |
| 8083 | All Terrain Vehicle | Polaris Sportsman 1000 Mud Edition | Single seater | up to 1000CC | up to 90 | New | hour | $20.41 |
| 8084 | All Terrain Vehicle | Polaris General XP 1000 | 2 seater | up to 1000CC | up to 100 | New | hour | $27.90 |
| 8085 | All Terrain Vehicle | Polaris General XP 1000 | 4 seater | up to 1000CC | up to 100 | New | hour | $30.09 |
